,smiles
0,CC1(COC(C(=O)Nc2cccc(Cl)c2)=C(C=N)N2CCN(S(=O)(=O)NCc3nc4cc(Cl)ccc4o3)CC2)CC1
1,CC(=O)C(NC(=O)C(CCCCNC(C)=S)NC(=O)C(CC(=O)O)NC(=O)C(N)CO)C(O)NC(C)C(=O)O
2,Cc1cc(S(=O)(=O)NC(C)c2nnc3ccccn23)ccc1Br
3,Cc1cc(=NC(=O)c2ccc3c(-c4nc5ccccc5[nH]4)[nH]nc3c2)[nH][nH]1
4,O=C1CC(c2ccc(Br)cc2)Nc2c(Br)cc(Br)cc21
5,CCCCC1=NC2(CCN(C(C)=O)CC2)C(=O)N1Cc1ccc(-c2ccccc2C(=O)O)cc1
6,CCOC(Cc1ccc(OCC=C(C)c2ccc(-c3ccc(C(C)=CCOc4ccc(CC(OCC)C(=O)O)cc4)cc3)cc2)cc1)C(=O)O
7,Cc1ccc(C(=O)CSc2ncc3c(n2)-c2ccccc2N(Cc2ccc(Cl)cc2)S3(=O)=O)cc1
8,CC(NCC1OC(CO)C(O)C1O)c1ccc(Cl)cc1
9,O=C(N=c1[nH]cc(Cc2ccccc2)s1)c1ccccc1
10,CC(C)c1cc2c(cc1O)C1(C)CCCC(C)(C)C1CC2CC1=CCC(O)(C(C)C)CC1
11,O=C(Cn1cnc(-c2ccccc2)cc1=O)N=c1cc[nH]cc1
12,Clc1ccc(CN2CCN(CCCOc3cccc4cccnc34)CC2)cc1
13,O=C(O)C=CC1CC=NCC1
14,N=c1nc2ccnc(-c3ccccc3)n2[nH]1
15,O=C(N=c1cc[nH]cc1)C(=O)c1cn(-c2cccnc2)c2ccccc12
16,CCON=C1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1(C)CN
17,c1coc(CN(Cc2cccs2)Cc2nnnn2C2CCCCC2)c1
18,O=C(NC(=S)NC1CCCCC1)c1cccc(Cl)c1
19,CN=c1[nH]c2ccc(S(=O)(=O)N(CC(C)C)CC(O)C(Cc3ccccc3)NC(=O)OC3COC4OCC(O)C34)cc2o1
20,COCCOc1ccc(NC(O)c2cc(O)n(C3CC3)c2)cn1
21,COc1c(OC)c(OC)c2c(c1OC)c(=O)c1ccccc1n2C
22,Cn1ncc2c1NC(=O)CC2c1ccccc1Br
23,COCCNC(=O)NC12CC3(C)CC(C)(CC(C)(C3)C1)C2
24,C=CCNC(=S)N(Cc1ccccc1)Cc1ccc(F)cc1
25,COc1ccc(C(=O)C[n+]2ccc3ccccc3c2C)cc1
26,Cc1ccc(C2=C(C#N)C(=O)NC(c3ccc(OCCCC(F)(F)F)cc3)(C(F)(F)F)C2)cc1F
27,CN1CCN(Cc2ccc(-n3cc4cccc(C(N)=O)c4n3)cc2)CC1
28,N=c1[nH]cnc2c1cnn2CCC(=O)O
29,CC1(C)OC(=O)Nc2ccc(-c3cc(F)cc(Cl)c3)cc21
30,Cc1cc(=NC2Cc3ccccc3C2)c2nncn2[nH]1
31,Cc1cccc(C)c1NC(=O)C1CCCCN1CCO
32,CS(=O)(=O)c1cc(C(=O)O)cc(SCc2ccccc2)c1Sc1ccccc1
33,CCn1c(Cn2nc(Cc3ccccc3)c3onc(C)c3c2=O)n[nH]c1=S
34,COC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)C=C(Br)C(=O)C(C)(C)C4CCC3(C)C1(C)CC2
35,O=C(C=Cc1ccccc1)Nc1ccc(C(=O)N2CCCCC2)cc1
36,COc1cc(C(=S)NC2CCCCC2)ccc1O
37,CC(NC(=O)C(C)OC1C(O)C(CO)OC(O)C1NC(=O)CO)C(=O)NC(CCC(=O)O)C(N)=O
38,CCOC(=O)c1c(C)[nH]c2cc(Br)c(OC)cc12
39,CCC(=O)N(C)c1cc(C(=O)NC(C)COC)cc(-c2ccc(C)cc2)c1
40,O=C1C(c2ccccc2)=C(c2ccccc2)C2C3CCC(C3)C12N1CCOCC1
41,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1cnc2[nH]ncc2c1
42,CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)C(C)(C(=O)N(C)C)c1ccccc1
43,Cc1cc(C)cc(-c2[nH]c3c(c2C(C)CNCCc2ccncc2)CN(C(=O)C2CCCC2)CC3)c1
44,O=C(c1cccc(F)c1)N1CCN(c2ccc([N+](=O)[O-])c3cccnc23)CC1
45,CCOC(O)c1cc2cc(-c3ccc(=O)[nH]n3)ccc2[nH]1
46,CCC(=O)N(c1ccccc1)C1(C(=O)OCCF)CCN(CCc2ccccc2)CC1
47,CCCCOC1=C(C(=O)O)C(c2ccc3c(c2)OCO3)Oc2ccccc21
48,Cc1ccccc1-c1cc(C(OCc2ccccc2Cl)c2cncn2C)ccc1C#N
49,C=CCn1c(=O)c(C2C(C(=O)OCC)C(=N)N(NC(=O)c3ccncc3)C3=CCCC(=O)C32)cc2cc(Cl)ccc21
50,Cc1cccc(C)c1NC(=O)C(NC=O)c1ccc(N(C)C)cc1
51,Cc1ccc(S(=O)(=O)Nc2cc(C)c(O)c(Sc3n[nH]c(C)n3)c2)cc1
52,CCC(C(=O)NCC1=CCN(C)CC1)c1ccccc1
53,CN(c1cccc(NC(=O)c2ccc(C(C)(C)C)cc2)c1)S(C)(=O)=O
54,O=S(=O)(c1ccc(-c2ccc3[nH]ccc(=Nc4ccc5[nH]nnc5c4)c3c2)cc1)N1CCOCC1
55,O=C(Cc1cc(CCC2CCNCC2)no1)NCC(NC(O)OCc1ccccc1)C(=O)O
56,O=C(NN=Cc1ccc(CS(=O)(=O)C2CCCC2)c2ccccc12)c1ccc(O)c(Cl)c1
57,Cc1ccc2nc(C)c(C(=O)O)cc2c1
58,Cc1cc(COc2cccc(C#N)c2)nc(-c2ccccn2)n1
59,O=C1CCCCN1C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
60,CCc1nn(CC)c(C2CCN(C(=O)CN3CN(c4ccccc4)C4(CCN(C(=O)c5ccc(C(C)(C)C)cc5)CC4)C3=O)CC2)c1CC
61,CCOC(=O)c1c[nH]n(CCOC(=O)c2cccs2)c1=NC(=O)c1cccs1
62,CC(c1cccc(F)n1)c1c(CCN(C)C)sc2ccccc12
63,CC(C)(C)OC(=O)N1CCCC1c1nnc(SCc2ccc(Cl)cc2Cl)o1
64,COc1cccc(C=C(C#N)C(=O)NCCCCCCNC(=O)C(C#N)=Cc2cccc(OC)c2)c1
65,CC(C)=CCCC(C)=CC1OC(=O)CC12CC(OC(=O)c1cccc(F)c1)=CCC2=O
66,Cc1ncsc1C(=O)N=c1[nH]c2c(s1)CCCC2
67,CCOC(=O)C1=C(C)N(CCO)C(=O)NC1c1cccc(O)c1
68,COc1ccccc1-c1nnc2sc(-c3ccc(N(C)C)cc3)nn12
69,CON=C1C2CCCC1C(c1ccccc1OC)N(C)C2c1ccccc1OC
70,Cc1ccc2cc(CN(Cc3ccco3)S(=O)(=O)c3c(C)ccc4nsnc34)c(=O)[nH]c2c1
71,CSCCC(N=c1nc(C)cc(C)[nH]1)C(=O)NCC1CCOCC1
72,CCCc1cc(=O)c2c(O)cc(OC)cc2o1
73,Nc1c[nH]ccc1=NC(=O)c1ccc2ncsc2c1
74,COc1cccc2c(CCN3CC=C(c4c[nH]c5ccc(F)cc45)CC3)coc12
75,CC(c1ccccc1)n1c(SCC(=O)Nc2ccccc2)n[nH]c1=O
76,CN(C)CC(C)(C)CNC(=O)c1cnn(-c2ncc3c(n2)-c2ccccc2CC3)c1-c1ccco1
77,CCCn1c(C)nnc1C(Cc1ccccc1)NS(=O)(=O)c1ccc(Cl)cc1
78,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)Nc3cc(F)cc(F)c3F)CC2)C1
